Type,x,y,text,ID
Special,,,[PAD],0
Special,,,[BOS],1
Special,,,[EOS],2
Special,,,[SEP],3
Special,,,[CLS],4
Special,,,[INST],5
Special,,,[POS],6
Special,,,[SRA],7
Special,,,[WID],8
Special,,,[UNK],9
Special,,,[SP_ONE],10
Azimuth,,,000_,11
Azimuth,,,001_,12
Azimuth,,,002_,13
Azimuth,,,003_,14
Azimuth,,,004_,15
Azimuth,,,005_,16
Azimuth,,,006_,17
Azimuth,,,007_,18
Azimuth,,,008_,19
Azimuth,,,009_,20
Azimuth,,,010_,21
Azimuth,,,011_,22
Azimuth,,,012_,23
Azimuth,,,013_,24
Azimuth,,,014_,25
Azimuth,,,015_,26
Azimuth,,,016_,27
Azimuth,,,017_,28
Azimuth,,,018_,29
Azimuth,,,019_,30
Azimuth,,,020_,31
Azimuth,,,021_,32
Azimuth,,,022_,33
Azimuth,,,023_,34
Azimuth,,,024_,35
Azimuth,,,025_,36
Azimuth,,,026_,37
Azimuth,,,027_,38
Azimuth,,,028_,39
Azimuth,,,029_,40
Azimuth,,,030_,41
Azimuth,,,031_,42
Azimuth,,,032_,43
Azimuth,,,033_,44
Azimuth,,,034_,45
Azimuth,,,035_,46
Azimuth,,,036_,47
Azimuth,,,037_,48
Azimuth,,,038_,49
Azimuth,,,039_,50
Azimuth,,,040_,51
Azimuth,,,041_,52
Azimuth,,,042_,53
Azimuth,,,043_,54
Azimuth,,,044_,55
Azimuth,,,045_,56
Azimuth,,,046_,57
Azimuth,,,047_,58
Azimuth,,,048_,59
Azimuth,,,049_,60
Azimuth,,,050_,61
Azimuth,,,051_,62
Azimuth,,,052_,63
Azimuth,,,053_,64
Azimuth,,,054_,65
Azimuth,,,055_,66
Azimuth,,,056_,67
Azimuth,,,057_,68
Azimuth,,,058_,69
Azimuth,,,059_,70
Azimuth,,,060_,71
Azimuth,,,061_,72
Azimuth,,,062_,73
Azimuth,,,063_,74
Azimuth,,,064_,75
Azimuth,,,065_,76
Azimuth,,,066_,77
Azimuth,,,067_,78
Azimuth,,,068_,79
Azimuth,,,069_,80
Azimuth,,,070_,81
Azimuth,,,071_,82
Azimuth,,,072_,83
Azimuth,,,073_,84
Azimuth,,,074_,85
Azimuth,,,075_,86
Azimuth,,,076_,87
Azimuth,,,077_,88
Azimuth,,,078_,89
Azimuth,,,079_,90
Azimuth,,,080_,91
Azimuth,,,081_,92
Azimuth,,,082_,93
Azimuth,,,083_,94
Azimuth,,,084_,95
Azimuth,,,085_,96
Azimuth,,,086_,97
Azimuth,,,087_,98
Azimuth,,,088_,99
Azimuth,,,089_,100
Azimuth,,,090_,101
Azimuth,,,091_,102
Azimuth,,,092_,103
Azimuth,,,093_,104
Azimuth,,,094_,105
Azimuth,,,095_,106
Azimuth,,,096_,107
Azimuth,,,097_,108
Azimuth,,,098_,109
Azimuth,,,099_,110
Azimuth,,,100_,111
Azimuth,,,101_,112
Azimuth,,,102_,113
Azimuth,,,103_,114
Azimuth,,,104_,115
Azimuth,,,105_,116
Azimuth,,,106_,117
Azimuth,,,107_,118
Azimuth,,,108_,119
Azimuth,,,109_,120
Azimuth,,,110_,121
Azimuth,,,111_,122
Azimuth,,,112_,123
Azimuth,,,113_,124
Azimuth,,,114_,125
Azimuth,,,115_,126
Azimuth,,,116_,127
Azimuth,,,117_,128
Azimuth,,,118_,129
Azimuth,,,119_,130
Azimuth,,,120_,131
Azimuth,,,121_,132
Azimuth,,,122_,133
Azimuth,,,123_,134
Azimuth,,,124_,135
Azimuth,,,125_,136
Azimuth,,,126_,137
Azimuth,,,127_,138
Azimuth,,,128_,139
Azimuth,,,129_,140
Azimuth,,,130_,141
Azimuth,,,131_,142
Azimuth,,,132_,143
Azimuth,,,133_,144
Azimuth,,,134_,145
Azimuth,,,135_,146
Azimuth,,,136_,147
Azimuth,,,137_,148
Azimuth,,,138_,149
Azimuth,,,139_,150
Azimuth,,,140_,151
Azimuth,,,141_,152
Azimuth,,,142_,153
Azimuth,,,143_,154
Azimuth,,,144_,155
Azimuth,,,145_,156
Azimuth,,,146_,157
Azimuth,,,147_,158
Azimuth,,,148_,159
Azimuth,,,149_,160
Azimuth,,,150_,161
Azimuth,,,151_,162
Azimuth,,,152_,163
Azimuth,,,153_,164
Azimuth,,,154_,165
Azimuth,,,155_,166
Azimuth,,,156_,167
Azimuth,,,157_,168
Azimuth,,,158_,169
Azimuth,,,159_,170
Azimuth,,,160_,171
Azimuth,,,161_,172
Azimuth,,,162_,173
Azimuth,,,163_,174
Azimuth,,,164_,175
Azimuth,,,165_,176
Azimuth,,,166_,177
Azimuth,,,167_,178
Azimuth,,,168_,179
Azimuth,,,169_,180
Azimuth,,,170_,181
Azimuth,,,171_,182
Azimuth,,,172_,183
Azimuth,,,173_,184
Azimuth,,,174_,185
Azimuth,,,175_,186
Azimuth,,,176_,187
Azimuth,,,177_,188
Azimuth,,,178_,189
Azimuth,,,179_,190
Azimuth,,,180_,191
Azimuth,,,181_,192
Azimuth,,,182_,193
Azimuth,,,183_,194
Azimuth,,,184_,195
Azimuth,,,185_,196
Azimuth,,,186_,197
Azimuth,,,187_,198
Azimuth,,,188_,199
Azimuth,,,189_,200
Azimuth,,,190_,201
Azimuth,,,191_,202
Azimuth,,,192_,203
Azimuth,,,193_,204
Azimuth,,,194_,205
Azimuth,,,195_,206
Azimuth,,,196_,207
Azimuth,,,197_,208
Azimuth,,,198_,209
Azimuth,,,199_,210
Azimuth,,,200_,211
Azimuth,,,201_,212
Azimuth,,,202_,213
Azimuth,,,203_,214
Azimuth,,,204_,215
Azimuth,,,205_,216
Azimuth,,,206_,217
Azimuth,,,207_,218
Azimuth,,,208_,219
Azimuth,,,209_,220
Azimuth,,,210_,221
Azimuth,,,211_,222
Azimuth,,,212_,223
Azimuth,,,213_,224
Azimuth,,,214_,225
Azimuth,,,215_,226
Azimuth,,,216_,227
Azimuth,,,217_,228
Azimuth,,,218_,229
Azimuth,,,219_,230
Azimuth,,,220_,231
Azimuth,,,221_,232
Azimuth,,,222_,233
Azimuth,,,223_,234
Azimuth,,,224_,235
Azimuth,,,225_,236
Azimuth,,,226_,237
Azimuth,,,227_,238
Azimuth,,,228_,239
Azimuth,,,229_,240
Azimuth,,,230_,241
Azimuth,,,231_,242
Azimuth,,,232_,243
Azimuth,,,233_,244
Azimuth,,,234_,245
Azimuth,,,235_,246
Azimuth,,,236_,247
Azimuth,,,237_,248
Azimuth,,,238_,249
Azimuth,,,239_,250
Azimuth,,,240_,251
Azimuth,,,241_,252
Azimuth,,,242_,253
Azimuth,,,243_,254
Azimuth,,,244_,255
Azimuth,,,245_,256
Azimuth,,,246_,257
Azimuth,,,247_,258
Azimuth,,,248_,259
Azimuth,,,249_,260
Azimuth,,,250_,261
Azimuth,,,251_,262
Azimuth,,,252_,263
Azimuth,,,253_,264
Azimuth,,,254_,265
Azimuth,,,255_,266
Azimuth,,,256_,267
Azimuth,,,257_,268
Azimuth,,,258_,269
Azimuth,,,259_,270
Azimuth,,,260_,271
Azimuth,,,261_,272
Azimuth,,,262_,273
Azimuth,,,263_,274
Azimuth,,,264_,275
Azimuth,,,265_,276
Azimuth,,,266_,277
Azimuth,,,267_,278
Azimuth,,,268_,279
Azimuth,,,269_,280
Azimuth,,,270_,281
Azimuth,,,271_,282
Azimuth,,,272_,283
Azimuth,,,273_,284
Azimuth,,,274_,285
Azimuth,,,275_,286
Azimuth,,,276_,287
Azimuth,,,277_,288
Azimuth,,,278_,289
Azimuth,,,279_,290
Azimuth,,,280_,291
Azimuth,,,281_,292
Azimuth,,,282_,293
Azimuth,,,283_,294
Azimuth,,,284_,295
Azimuth,,,285_,296
Azimuth,,,286_,297
Azimuth,,,287_,298
Azimuth,,,288_,299
Azimuth,,,289_,300
Azimuth,,,290_,301
Azimuth,,,291_,302
Azimuth,,,292_,303
Azimuth,,,293_,304
Azimuth,,,294_,305
Azimuth,,,295_,306
Azimuth,,,296_,307
Azimuth,,,297_,308
Azimuth,,,298_,309
Azimuth,,,299_,310
Azimuth,,,300_,311
Azimuth,,,301_,312
Azimuth,,,302_,313
Azimuth,,,303_,314
Azimuth,,,304_,315
Azimuth,,,305_,316
Azimuth,,,306_,317
Azimuth,,,307_,318
Azimuth,,,308_,319
Azimuth,,,309_,320
Azimuth,,,310_,321
Azimuth,,,311_,322
Azimuth,,,312_,323
Azimuth,,,313_,324
Azimuth,,,314_,325
Azimuth,,,315_,326
Azimuth,,,316_,327
Azimuth,,,317_,328
Azimuth,,,318_,329
Azimuth,,,319_,330
Azimuth,,,320_,331
Azimuth,,,321_,332
Azimuth,,,322_,333
Azimuth,,,323_,334
Azimuth,,,324_,335
Azimuth,,,325_,336
Azimuth,,,326_,337
Azimuth,,,327_,338
Azimuth,,,328_,339
Azimuth,,,329_,340
Azimuth,,,330_,341
Azimuth,,,331_,342
Azimuth,,,332_,343
Azimuth,,,333_,344
Azimuth,,,334_,345
Azimuth,,,335_,346
Azimuth,,,336_,347
Azimuth,,,337_,348
Azimuth,,,338_,349
Azimuth,,,339_,350
Azimuth,,,340_,351
Azimuth,,,341_,352
Azimuth,,,342_,353
Azimuth,,,343_,354
Azimuth,,,344_,355
Azimuth,,,345_,356
Azimuth,,,346_,357
Azimuth,,,347_,358
Azimuth,,,348_,359
Azimuth,,,349_,360
Azimuth,,,350_,361
Azimuth,,,351_,362
Azimuth,,,352_,363
Azimuth,,,353_,364
Azimuth,,,354_,365
Azimuth,,,355_,366
Azimuth,,,356_,367
Azimuth,,,357_,368
Azimuth,,,358_,369
Azimuth,,,359_,370
Azimuth,,,360_,371
LOC,255117.4277,774884.3107,[LOC_00000],15772
LOC,257122.4564,778583.9844,[LOC_00001],15773
LOC,260099.2657,776671.5491,[LOC_00002],15774
LOC,256659.6786,774856.0641,[LOC_00003],15775
LOC,253858.5644,775799.304,[LOC_00004],15776
LOC,260427.7157,783137.7732,[LOC_00005],15777
LOC,257257.3696,779148.9574,[LOC_00006],15778
LOC,258159.2866,778288.6079,[LOC_00007],15779
LOC,257066.1596,776132.8298,[LOC_00008],15780
LOC,255946.7091,780641.5326,[LOC_00009],15781
LOC,255989.183,784791.3526,[LOC_00010],15782
LOC,253947.2692,776592.2385,[LOC_00011],15783
LOC,256362.2619,785788.5465,[LOC_00012],15784
LOC,261082.309,783182.6879,[LOC_00013],15785
LOC,256730.9564,778123.7016,[LOC_00014],15786
LOC,254381.0132,775262.6594,[LOC_00015],15787
LOC,257631.5022,775157.9498,[LOC_00016],15788
LOC,255616.1319,779441.0293,[LOC_00017],15789
LOC,256127.5082,785221.6552,[LOC_00018],15790
LOC,256014.4434,779516.6755,[LOC_00019],15791
LOC,253831.7969,777259.6408,[LOC_00020],15792
LOC,254430.6375,777879.1731,[LOC_00021],15793
LOC,258010.5355,783030.3344,[LOC_00022],15794
LOC,255951.3939,779865.7147,[LOC_00023],15795
LOC,260912.4674,781788.9956,[LOC_00024],15796
LOC,253863.449,780697.2026,[LOC_00025],15797
